Title:,Back 4 Blood Card Compendium & Codex,,,On Desktop? Check out Filter Views,Note: Versus and Campaign Cards to be separately listed even if they have the same effects,,,
Corruption,Ridden,Mutation,-,Monstrous Armored Bruisers,"Bruiser's can take a lot of punishment. Keep moving and don't let them get close. Monstrous (+50% Health, +100% Damage), Armored (Weakspots are covered by durable Armor.) Tenacious (Bruiser's regenerate while in a Frenzy.), Fearsome (Bruisers reduce the damage of nearby Cleaners.)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Monstrous Armored Crushers,"Getting crushed is the worst way to die. Attack the Crusher to free your teammates. Monstrous (+50% Health, +100% Damage), Armored (Weakspots are covered by durable Armor.) Traumatic (Crushers deal 100% Trauma damage.), Stubborn (Crushers no longer release a grabbed Cleaner from bullet stumble)",N/A,-,
Corruption,Ridden,Mutation,-,Monstrous Armored Exploders,"Stay away from these two-legged death bombs. Monstrous (+50% Health, +100% Damage), Armored (Weakspots are covered by durable Armor.) Shockwave (Explosion knockback increased by 100%), Concussive (Cleaners hit by explosion are briefly blinded.)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Monstrous Armored Hockers,"Melee teammates to free them from Hocker Pins. Monstrous (+50% Health, +100% Damage), Armored (Weakspots are covered by durable Armor.) Heartpiercer (Hocker Pin deals an additional 10 damage on impact.), Toxin (Hocker Pin leaves a toxin that reduces healing recieved by 50% for 30 seconds.)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Monstrous Armored Lobbers,"The Lobber hurls sticky bombs that damage and burn any Cleaners caught in its large blast radius. Mind your ammo and give these explosives a wide berth! Armored (Weakspots are covered by durable Armor.) Monstrous (+50% Health, +100% Damage) Sear (Ammo on Cleaners caught in the blast radius catches fire and becomes useless. Cleaners lose 10% of their total ammo.), Bombardment (Burning Ammo Piles dropped by Cleaners explode after a delay.), Firestorm (Cleaners drop an additional set of Burning Ammo with a shorter fuse that explodes more quickly.)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Monstrous Armored Retches,"Acid spew leaves Dangerous Bile Pools. Monstrous (+50% Health, +100% Damage), Armored (Weakspots are covered by durable Armor.) Gunk (Direct hits with vomit also reduce Reload, Swap, and Use speed by 35%.), Adhesive (Acid pools also reduce move speed by 75%)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Monstrous Armored Rippers,"This Warped Ridden flings spiked cysts in a line from his massive arm to attack from afar. Armored (Weakspots are covered by durable Armor.) Monstrous (+50% Health, +100% Damage), Annihilation (Spiked Balls are flung in a solid arc in front of the Ripper.)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Monstrous Armored Shredders,"This subterranean Warped Ridden launches adhesive tendrils that pull Cleaners toward it, applying the Pus Covered status. Armored (Weakspots are covered by durable Armor.) Monstrous (+50% Health, +100% Damage), Viscous (Cleaners hit by Shredder Implosions are slower by 30%.), Impact (Cleaners hit by Shredder Implosions will take damage.)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Monstrous Armored Stalkers,"A grabbed teammate is a dead teammate. Quickly kill the Stalker to free teammates. Monstrous (+50% Health, +100% Damage), Armored (Weakspots are covered by durable Armor.) Blooddrinker (Stalkers heal whenever they deal damage.), Meat Shield (Stalkers take less damage while grabbing a Cleaner.)",N/A,-,
Corruption,Ridden,Mutation,-,Monstrous Armored Stingers,"Stinger spit toxic spittle from long distancs or high vantage points. Monstrous (+50% Health, +100% Damage), Armored (Weakspots are covered by durable Armor.) Congeal (Stinger Spittle blinds and has an increased slowing effect.), Predator (Stingers attack 50% faster.)",N/A,,
Corruption,Ridden,Mutation,-,Monstrous Armored Swarmers,"Lurking Swarmers send out Clouds of insects from behind cover to track down Cleaners. Burn these pests and hunt down the Swarmer before you're consumed. Armored (Weakspots are covered by durable Armor.) Monstrous (+50% Health, +100% Damage) Pesky (The Swarm Cloud applies a stacking 10% Use Speed Debuff) Culling (Swarm Clouds seek out Cleaners with the lowest amount of Health) Persistence (An additional Swarm Cloud spawns) Voracious (Swarm Clouds move faster. Pesky lasts until the end of the map or until a Bandage, First Aid, or First Aid Cabinet is used)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Monstrous Armored Tallboys,"These towering mutations can surge into powerful slam attacks. Aim for the weakspot or use fire to take them out. Monstrous (+50% Health, +100% Damage), Armored (Weakspots are covered by durable Armor.) Hardened (Tallboys take 75% reduced damage from Explosions), Quick (Tallboys attack 50% faster.)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Monstrous Armored Urchins,"This subterranean Warped Ridden hurls Urchin Mines that damage and slow Cleaners. Damage the Mines to clear them! Armored (Weakspots are covered by durable Armor.) Monstrous (+50% Health, +100% Damage), Paralytic (Cleaners hit by the Urchin Mine are slowed even further.) Secretion (The Urchin Mine's acidic goo radius is increased.)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Monstrous Armored Wailers,"This minelayer births Gas Sacs that track any enemies foolish enough to get close. Destory the Gas Sacs before you're overwhelmed. Armored (Weakspots are covered by durable Armor.)  Monstrous (+50% Health, +100% Damage) Prolific (Wailer generates 3 Sacs at a time.) Scorch (Gas Sacs set players on fire) Burning (Instantly lights a damaged target on fire. Burning targets take damage over time but can extinguish the flames to reduce severity)",N/A,,
Corruption,Ridden,Ridden,-,Monstrous Blitzing,"This is what remains of the living. Aim for the head to put them down quickly. Monstrous (+50% Health, +4 Additional Damage per hit)",N/A,-,N/A
Corruption ,Ridden,Boss,-,Monstrous Boss (+),"Defeat the Boss and complete the level to earn +500 Copper. +Bonus Supply Points Monstrous (+50% Health, +100% Damage)",N/A,-,N/A
Corruption ,Event,Boss,-,Monstrous Boss (No Hope),"Beware, a dangerous Boss Mutation lurks nearby. Roaming Boss Card in No Hope Difficulty.",N/A,,
Corruption,Ridden,Mutation,-,Monstrous Bruisers,"Bruiser's can take a lot of punishment. Keep moving and don't let them get close. Monstrous (+50% Health, +100% Damage), Tenacious (Bruiser's regenerate while in a Frenzy.), Fearsome (Bruisers reduce the damage of nearby Cleaners.)",N/A,-,500
Corruption,Ridden,Cultist,-,Monstrous Crone,"These vicious crones shoot volleys of white-hot arrows, instantly igniting anyone they strike. Take them out before your plans -- and team -- go up in flames Monstrous (+50% Health, +100% Damage), Burning (Instantly lights a damage target on fire. Burning targets take damage over time but can extinguish the flames to reduce severity.)",N/A,-,500
Corruption,Ridden,Mutation,-,Monstrous Crushers,"Getting crushed is the worst way to die. Attack the Crusher to free your teammates. Monstrous (+50% Health, +100% Damage), Traumatic (Crushers deal 100% Trauma damage.), Stubborn (Crushers no longer release a grabbed Cleaner from bullet stumble)",N/A,-,500
Corruption,Ridden,Mutation,-,Monstrous Exploders,"Stay away from these two-legged death bombs. Monstrous (+50% Health, +100% Damage), Shockwave (Explosion knockback increased by 100%), Concussive (Cleaners hit by explosion are briefly blinded.)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Monstrous Hockers,"Melee teammates to free them from Hocker Pins. Monstrous (+50% Health, +100% Damage), Heartpiercer (Hocker Pin deals an additional 10 damage on impact.), Toxin (Hocker Pin leaves a toxin that reduces healing recieved by 50% for 30 seconds.)",N/A,-,500
Corruption,Ridden,Ridden,-,Monstrous Jogging Ridden,"This is what remains of the living. Aim for the head to put them down quickly. Monstrous (+50% Health, +4 Additional Damage per hit)",N/A,-,500
Corruption,Ridden,Mutation,-,Monstrous Lobbers,"The Lobber hurls sticky bombs that damage and burn any Cleaners caught in its large blast radius. Mind your ammo and give these explosives a wide berth! Monstrous (+50% Health, +100% Damage) Sear (Ammo on Cleaners caught in the blast radius catches fire and becomes useless. Cleaners lose 10% of their total ammo.), Bombardment (Burning Ammo Piles dropped by Cleaners explode after a delay.), Firestorm (Cleaners drop an additional set of Burning Ammo with a shorter fuse that explodes more quickly.)",N/A,-,N/A
Corruption,Kill,Boss,-,Monstrous Ogre,"You've drawn the attention of the Ogre. Monstrous (+50% Health, +100% Damage)",N/A,-,500
Corruption,Ridden,Cultist,-,Monstrous Pusflinger,"Lobs jars full of a Cultist Concoction that attract Ridden to the target and drain a Cleaner's Stamina. Monstrous (+50% Health, +100% Damage),",N/A,-,N/A
Corruption,Ridden,Mutation,-,Monstrous Reekers,"Reeker guts can call the horde if they explode on you. Monstrous (+50% Health, +100% Damage), Viscous (Cleaners hit by Reeker explosions are slower by an additional 30%.), Irritant (Cleaners hit by Reeker explosions also take 25% increased damage for 1 minute.)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Monstrous Retches,"Acid spew leaves Dangerous Bile Pools. Monstrous (+50% Health, +100% Damage), Gunk (Direct hits with vomit also reduce Reload, Swap, and Use speed by 35%.), Adhesive (Acid pools also reduce move speed by 75%)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Monstrous Rippers,"This Warped Ridden flings spiked cysts in a line from his massive arm to attack from afar. Monstrous (+50% Health, +100% Damage), Annihilation (Spiked Balls are flung in a solid arc in front of the Ripper.)",N/A,-,500
Corruption,Ridden,Ridden,-,Monstrous Running Ridden,"This is what remains of the living. Aim for the head to put them down quickly. Monstrous (+50% Health, +4 Additional Damage per hit)",N/A,-,N/A
Corruption,Ridden,Ridden,-,Monstrous Shambling Ridden,"This is what remains of the living. Aim for the head to put them down quickly. Monstrous (+50% Health, +4 Additional Damage per hit)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Monstrous Shredders,"This subterranean Warped Ridden launches adhesive tendrils that pull Cleaners toward it, applying the Pus Covered status. Monstrous (+50% Health, +100% Damage), Viscous (Cleaners hit by Shredder Implosions are slower by 30%.) Impact (Cleaners hit by Shredder Implosions will take damage.",N/A,-,N/A
Corruption,Ridden,Cultist,-,Monstrous Slasher,"Fast moving and heavily armored. These Slashers Leap at their targets and attack with claws that cause extra stacks of Bleed to its victims. Monstrous (+50% Health, +100% Damage), Armored (Weakspots are covered by durable Armor.) Leap (Slashers can perform a leaping slash attack, crossing a long distance very quickly.), Bleed (Bleed causes damage over time that increases in severity with each additional attack.)",N/A,-,N/A
Corruption,Ridden,Cultist,-,Monstrous Sniper,"Uses a heavily modified Hunting Rifle with a High Visibility Laser for quick acquisition and elimination. Monstrous (+50% Health, +100% Damage)",N/A,-,N/A
Corruption,Ridden,Ridden,-,Monstrous Sprinting Ridden,"This is what remains of the living. Aim for the head to put them down quickly. Monstrous (+50% Health, +4 Additional Damage per hit)",N/A,-,500
Corruption,Ridden,Mutation,-,Monstrous Stalkers,"A grabbed teammate is a dead teammate. Quickly kill the Stalker to free teammates. Monstrous (+50% Health, +100% Damage), Blooddrinker (Stalkers heal whenever they deal damage.), Meat Shield (Stalkers take less damage while grabbing a Cleaner.)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Monstrous Stingers,"Stinger spit toxic spittle from long distancs or high vantage points. Monstrous (+50% Health, +100% Damage), Congeal (Stinger Spittle blinds and has an increased slowing effect.), Predator (Stingers attack 50% faster.)",N/A,-,500
Corruption,Ridden,Mutation,-,Monstrous Swarmers,"Lurking Swarmers send out Clouds of insects from behind cover to track down Cleaners. Burn these pests and hunt down the Swarmer before you're consumed. Monstrous (+50% Health, +100% Damage) Pesky (The Swarm Cloud applies a stacking 10% Use Speed Debuff) Culling (Swarm Clouds seek out Cleaners with the lowest amount of Health) Persistence (An additional Swarm Cloud spawns) Voracious (Swarm Clouds move faster. Pesky lasts until the end of the map or until a Bandage, First Aid, or First Aid Cabinet is used)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Monstrous Tallboys,"These towering mutations can surge into powerful slam attacks. Aim for the weakspot or use fire to take them out. Monstrous (+50% Health, +100% Damage), Hardened (Tallboys take 75% reduced damage from Explosions), Quick (Tallboys attack 50% faster.)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Monstrous Urchin,"This subterranean Warped Ridden hurls Urchin Mines that damage and slow Cleaners. Damage the Mines to clear them! Monstrous (+50% Health, +100% Damage), Paralytic (Cleaners hit by the Urchin Mine are slowed even further.) Secretion (The Urchin Mine's acidic goo radius is increased.)",N/A,-,500
Corruption,Ridden,Mutation,-,Monstrous Wailers,"This minelayer births Gas Sacs that track any enemies foolish enough to get close. Destory the Gas Sacs before you're overwhelmed. Monstrous (+50% Health, +100% Damage) Prolific (Wailer generates 3 Sacs at a time.) Scorch (Gas Sacs set players on fire) Burning (Instantly lights a damaged target on fire. Burning targets take damage over time but can extinguish the flames to reduce severity)",N/A,-,500
Campaign,Defense,Discipline ,No,Motorcycle Helmet,"+15% Damage Resistance, +10 Health, DISABLES: Aim Down Sights",The Furnace (2),-,
Campaign,Defense ,Discipline,No,Motorcycle Jacket,"+5% Damage Resistance, +5 Health",The Clinic,-,500
Campaign,Utility,Fortune,No,Mugger,"Kills with Melee weapons have a 5% chance to spawn ammo, Razor Wire or a Bear Trap.",Knuckle House (2),-,N/A
Swarm,Utility,Fortune,No,Mugger,"Kills with Melee weapons have a 5% chance to spawn ammo, Razor Wire or a Bear Trap.",Available from Start,Flat,500
Campaign,Utility,Reflex,No,Multitool,"+75% Use Speed, -5% Damage Resistance",Knuckle House (2),-,500
Campaign,Mobility ,Discipline ,No,Natural Sprinter,"+100% Stamina Regeneration, -50% Maximum Stamina",The Crow's Nest (4),-,500
Swarm,Mobility ,Discipline ,No,Natural Sprinter,"+100% Stamina Regeneration, -50% Maximum Stamina",Available from Start,ADS,500
Campaign,Defense,Discipline ,Yes,Needs of the Many,-10% Health. Team Effects: +1 Team Extra Life,The Stilts (3) / Bot Deck,ADS,N/A
Corruption ,Curse,Trial of the Worm,-,No Copper,No Copper spawns in this Chapter.,N/A,-,
Corruption ,Curse,Trial of the Worm,-,No Extra Lives,Cleaners start with No Extra Lives,N/A,-,
Corruption,Survive,Challenge,-,No One Left Behind,Complete the level with all four Cleaners alive to earn 500 Copper.,N/A,-,500
Corruption,Survive,Challenge,-,No One Left Behind (+),Complete the level with all four Cleaners alive to earn 500 Copper. +Bonus Supply Points,N/A,-,N/A
Corruption,Event,Environment,-,Noxious Fumes,Noxious gas fills the air. Fill up on oxygen at generators found throughout the map before moving forward. Breathing the fumes without oxygen will have increasingly negative effects.,N/A,-,500
Campaign,Defense ,Brawn,No,Numb,Gain +10% Damage Resistance while you have Temporary Health,The Clinic (3),-,N/A
Swarm,Defense ,Brawn,No,Numb,Gain +10% Damage Resistance while you have Temporary Health,Available from Start,,
Campaign,Utility,Brawn,No,Offensive Scavenger,You can sense nearby Offensive Accessories. More Offensive Accessories spawn. (+5),The Stilts,-,500
Burn,Loot,Burn,Yes,Offensive Supply Scavenger,Team Effects: Increased Offensive items spawn this level.,The Collectors (V.1.000.008),-,N/A
Burn,Offense,Burn,Yes,Offensive Upgrade,"Team Effects: Improves the quality of all Frag, Molotov, Pipe Bomb, Firecracker, Flashbang, Bait Jar, and Smoke Grenade accessories.",The Collectors (V.1.000.008),-,500
Corruption,Ridden,Boss infected,-,Ogre,You've drawn the attention of the Ogre.,N/A,-,N/A
Campaign,Mobility,Reflex,No,Olympic Sprinter,"+30% Sprint Efficiency, -7% Damage Resistance",Bridge Town (2),-,
Swarm,Mobility,Reflex,No,Olympic Sprinter,"+30% Sprint Efficiency, -7% Damage Resistance",Available from Start,-,500
Campaign,Mobility,Reflex,Yes,On your Mark...,"Team Effects: When a horde is triggered, your team restores 7.5% Ammo and gains 10% Move Speed while firing, 15% Reload Speed, and 25% Swap Speed for 30 seconds.",Bridge Town (3) / Bot Deck,-,500
Swarm,Mobility,Reflex,Yes,On your Mark...,"Team Effects: When a horde is triggered, your team restores 7.5% Ammo and gains 10% Move Speed while firing, 15% Reload Speed, and 25% Swap Speed for 30 seconds.",Available from Start,Melee,500
Corruption,Event,Ridden,-,Onslaught,"The horde is right on our heels, move fast or be overrun.",N/A,Bullet / Melee,500
Campaign,Offense ,Discipline ,No,Optics Enthusiast,+30% Accuracy,Fort Hope / Bot Deck,Bullet / Melee,N/A
Swarm,Offense ,Discipline ,No,Optics Enthusiast,+30% Accuracy,Available from Start,-,N/A
Campaign,Talent,Brawn,Yes,Out with a Bang,"Team Effects: when a teammate is incapacitated or dies, they drop an active Pipe Bomb.",Duffel Bag Reward / Children of the Worm Expansion,-,500
Campaign,Talent,Discipline,No,Over-Protective,"When a teammate within 15 meters recieves 5 or more damage, gain 20% increased damage for 5 seconds.",The Collectors (Tunnels of Terror),-,N/A
Campaign,Defense ,Brawn,No,Overwatch,Kills from greater than 15 meters grant 5 Temporary Health to teammates within 15 meters of the target.,The Furnace (3),-,N/A
Swarm,Defense ,Brawn,No,Overwatch,Kills from greater than 15 meters grant 5 Temporary Health to teammates within 15 meters of the target.,Available from Start,Fire,500
Campaign,Defense,Discipline,No,Padded Suit,"+10% Damage Resistance, +5 Health, -20% Stamina Efficiency",The Furnace / Bot Deck,Fire,N/A
Swarm,Defense,Discipline,No,Padded Suit,"+10% Damage Resistance, +5 Health, -20% Stamina Efficiency",Available from Start,-,N/A
Campaign,Offense,Discipline ,No,Patient Hunter,Every 0.75 seconds you Aim Down Sights increases your Bullet Damage by 10% (up to 3 stacks).,Fort Hope,-,500
Swarm,Offense ,Discipline ,No,Patient Hunter,Every 0.75 seconds you Aim Down Sights increases your Bullet Damage by 10% (up to 3 stacks).,Available from Start,-,
Food,Stat,Brawn,No,Peaches,Restores 5 Health and 5 Trauma.,Find in Game,-,N/A
Food,Stat,Discipline,No,Peanut Butter,Gain 5% increased Accuracy and Melee Stamina Efficiency until the end of the map.,Find in Game,,
Campaign,Mobility,Reflex,No,Pep in your Step,Precision Kills grant you 8% Move Speed for 5 Seconds.,Knuckle House,-,500
Swarm,Mobility,Reflex,No,Pep in your Step,Precision Kills grant you 8% Move Speed for 5 Seconds.,Available from Start,Weakpoint,500
Campaign,Utility,Reflex,No,Pep Talk,"While reviving teammates, take 3 less damage from all Ridden. Teammates recover an additional 10 Health when you revive them.",The Clinic (2),-,N/A
Swarm,Utility,Reflex,No,Pep Talk,"While reviving teammates, take 3 less damage from all Ridden. Teammates recover an additional 10 Health when you revive them.",Available from Start,-,N/A
Campaign,Offense,Discipline,No,Phosphorous Tipped,Continuous gunfire gives an escalating chance to set targets on fire.,Duffel Bag Reward / River of Blood Expansion,-,500
Campaign,Talent,Fortune,No,Pinata,Killing Ridden with an Accessory has 10% chance to drop an Accessory.,The Collectors (Tunnels of Terror),-,N/A
Corruption ,Finale,Finale,-,Plan B,Secure the weapons cache and send it back to Fort Hope. Act 2 Finale,N/A,-,N/A
Campaign,Defense,Discipline,No,Poultice,"When you use a medical accessory, the target recovers an additional 20 Health over 30 Seconds.",The Clinic,-,N/A
Swarm,Defense ,Discipline ,No,Poultice ,"When you use a medical accessory, the target recovers an additional 20 Health over 30 Seconds.",Available from Start,-,500
Food,Stat,Discipline,No,Power Bars,Gain 1% increased Damage until the end of the map.,Find in Game,-,500
Campaign,Offense,Discipline ,No,Power Reload,Reloading a gun within 1 Second of reaching low ammo will increase its magazine size by 30% until the next reload.,Paul's Alley (3),-,N/A
Swarm,Offense,Discipline ,No,Power Reload,Reloading a gun within 1 Second of reaching low ammo will increase its magazine size by 30% until the next reload.,Available from Start,Weakpoint,500
Campaign,Talent,Brawn,No,Power Strike,"Every 3 Seconds, gain +10 Bash Damage. Stacking up to 10 times. All charges are consumed on use.",The Collectors (Tunnels of Terror),Weakpoint,N/A
Campaign,Offense,Reflex,No,Power Swap,Changing Weapons within 1 Second of reaching low ammo grants +20% Bullet and Melee Damage for 5 Seconds.,Bridge Town (3),-,N/A
Swarm,Offense,Reflex,No,Power Swap,Changing Weapons within 1 Second of reaching low ammo grants +20% Bullet and Melee Damage for 5 Seconds.,Available from Start,-,
Burn,Loot,Burn,No,Primary Weapon Upgrade,"Upgrades the quality of your currently equipped primary weapons by one rarity, up to Epic.",The Collectors (V.1.000.008),Weapon,500
Campaign,Stat,Reflex,No,Pumped Up,Your Temporary Health decays 20% slower. 1 Additional Pain Meds spawns in each map. +5% Health,The Collectors (Tunnels of Terror),-,500
Corruption,Event,Environment,-,Pure Chaos,Timed Hordes. Healing efficiency reduced by 50%. Large Quantities of Frags and Molotovs appear in the map.,N/A,-,500
Corruption,Ridden,Cultist,-,Pusflinger,Lobs jars full of a Cultist Concoction that attract Ridden to the target and drain a Cleaner's Stamina.,N/A,-,500
Campaign,Offense ,Brawn,No,Pyro,"+100% Fire Damage, Gain 3 Temporary Health for each kill with fire. You can sense flammable objects nearby.",The Furnace (3),-,N/A
Swarm,Offense ,Brawn,No,Pyro,"+100% Fire Damage, Gain 3 Temporary Health for each kill with fire. You can sense flammable objects nearby.",Available from Start,-,N/A
Burn,Utility,Burn,Yes,Quick Item Upgrade,"Team Effects: Improves the quality of all Tool Kit, Stun Gun, Defibrillator, Razorwire, Ammo Pouch, and Bear Trap Accessories.",The Collectors (V.1.000.008),-,500
Campaign,Offense ,Discipline ,No,Quick Kill,"+50% Accuracy, DISABLES: Aim Down Sights",Fort Hope (2),Weakpoint,500
Cleaner Skill,All,Ability,No,RADIANCE!,Several live Flash Grenades Appear.,"""Prophet"" Dan Ability",Weakpoint,500
Corruption,Event,Character,-,Ravenous,"Every 30 seconds you become more hungry, eating food reverses this. You take 3 Damage and 1.25 Trauma Damage every 15 seconds for each stack of Hunger, but recover 1 Trauma Damage for each stack of Full. More Food Spawns",N/A,-,500
Corruption ,Challenge,Environmental,-,Razor Worms,Clusters of Razor Worms grow and spread throughout the area. Crouch through them to avoid their effects.,N/A,-,N/A
Campaign,Mobility ,Reflex,No,Reckless,"+40% Sprint Efficiency, When you take Damage while Sprinting you lose all Stamina.",Bridge Town (3),-,N/A
Campaign,Offense ,Reflex,No,Reckless Strategy,"+30% Weakspot Damage, -5% Damage Resistance",Knuckle House,-,N/A
Corruption ,Curse,Trial of the Worm,-,Reduced Agility,"Weapon Swap Speed, ADS Speed, and Reload Speed are reduced by (12.5%) (25%) (40%)",N/A,-,N/A
Corruption,Event,Mutation,-,Reeker Hordes,"Huge hordes of Reekers, Retches, and Exploders will attack on a timer.",N/A,-,N/A
Corruption,Ridden,Mutation,-,Reekers,Reeker guts can call the horde if they explode on you.,N/A,-,N/A
Campaign,Offense,Reflex,No,Reload Drills,"+20% Reload Speed, +25% Weapon Swap Speed",Starter Deck / Bot Deck,-,N/A
Swarm,Offense ,Reflex,No,Reload Drills,+30% Reload Speed,Available from Start,-,N/A
Corruption ,Finale,Finale,-,Remnants,Take the weapon to the heart of the Ridden Infestation. Act 3 Finale,N/A,-,500
Corruption,Ridden,Mutation,-,Retches,Acid spew leaves Dangerous Bile Pools.,N/A,-,N/A
Campaign,Mobility ,Reflex,No,Rhythmic Breathing,+40% Stamina,Bridge Town (3),-,500
Swarm,Mobility ,Reflex,No,Rhythmic Breathing,+40% Stamina,Available from Start,-,500
Cleaner Skill,All,Ability,No,RICHES!,Several Copper pickups Appear.,"""Prophet"" Dan Ability",-,N/A
Corruption,Ridden,Ridden,-,Ridden,"What remains of the Living, aim for the head to put them down quickly.",N/A,-,N/A
Campaign,Offense,Reflex,No,Ridden Slayer,+20% Weakspot Damage,The Crow's Nest,-,500
Swarm,Offense ,Reflex,No,Ridden Slayer,+35% Weakspot Damage,Available from Start,-,N/A
Corruption ,Curse,Trial of the Worm,-,Ridden Stumble Resistance,Ridden Stumble Resistance is increased by (12.5%) (25%),N/A,-,N/A
Corruption,Ridden,Mutation,-,Ripper,This Warped Ridden flings spiked cysts in a line from his massive arm to attack from afar.,N/A,-,N/A
Campaign,Mobility,Reflex,No,Rolling Thunder,"+35% Move Speed while firing with Shotguns, +10% Damage with shotguns.",Knuckle House,-,500
Campaign,Utility,Reflex,Yes,Rousing Speech,"Team Effects: Teammates recover an additional 10 Health when revived. +50% Team Revive Speed, +10% Team Reduced Incap Trauma.",Grant's Brew House (3),-,N/A
Campaign,Mobility,Fortune ,No,Run and Gun (Wake of Death),You can sprint while shooting,The Crow's Nest,Weapon,500
Campaign,Mobility,Reflex,No,Run like Hell,"+12% Move Speed, +15% Sprint Speed. When you take Damage, your lose the benefits of Run like Hell for 3 Seconds.",Bridge Town (3),Weapon,N/A
Swarm,Mobility,Reflex,No,Run like Hell,"+12% Move Speed, +15% Sprint Speed. When you take Damage, your lose the benefits of Run like Hell for 3 Seconds.",Available from Start,-,500
Corruption,Ridden,Ridden,-,Runners,"What remains of the Living, aim for the head to put them down quickly.",N/A,-,N/A
Campaign,Talent,Brawn,No,Sadist,"When a teammate within 15 meters recieves 5 or more damage, gain 20% of the damage as Temporary Health. Can only trigger once per second.",The Collectors (Tunnels of Terror),-,500
Campaign,Offense,Reflex,No,Sadistic,Each Precision Kill gives 5% increased Weakspot Damage for 10 Seconds.,Bridge Town (2),-,500
Swarm,Offense,Reflex,No,Sadistic,Each Precision Kill gives 5% increased Weakspot Damage for 10 Seconds.,Available from Start,Shredder,500
Campaign,Defense,Fortune,No (Yes),Saferoom Recovery,"Your team heals 15 Health, 7 Trauma Damage and refills 10% Ammo at the start of each level.",The Clinic (4),Shredder,N/A
Corruption ,Survive,Challenge,-,Safety First,Complete the level without the cleaners being incapacitated more than 4 times to earn 500 Copper.,N/A,-,N/A
Corruption,Survive,Challenge,-,Safety First - Elite,Complete the level without the cleaners being incapacitated 2 times to earn: +500 Copper.,N/A,-,N/A
Corruption,Survive,Challenge,-,Safety First - Elite (+),Complete the level without the cleaners being incapacitated 2 times to earn: +500 Copper. +Bonus Supply Points,N/A,-,N/A
Corruption,Survive,Challenge,-,Safety First - Flawless,Complete the level without the cleaners being incapacitated to earn: +500 Copper. +Bonus Supply Points,N/A,-,N/A
Corruption,Survive,Challenge,-,Safety First - Veteran,Complete the level without the cleaners being incapacitated more than once to earn 500 Copper. +Bonus Supply Points,N/A,-,N/A
Corruption ,Survive,Challenge,-,Safety First (+),Complete the level without the cleaners being incapacitated more than 4 times to earn 500 Copper. +Bonus Supply Points.,N/A,Bullet,500
Corruption ,Survive,Challenge,-,Safety First (Expert),Complete the level without the cleaners being incapacitated more than 3 times to earn 500 Copper.,N/A,Bullet,N/A
Corruption ,Survive,Challenge,-,Safety First (Expert+),Complete the level without the cleaners being incapacitated more than 3 times to earn 500 Copper. +Bonus Supply Points.,N/A,-,N/A
Campaign,Defense ,Brawn,No,Scar Tissue,Take 1 less damage from all Ridden. +50% Acid Resistance.,Grant's Brew House,-,N/A
Swarm,Defense ,Brawn,No,Scar Tissue,Take 1 less damage from all Ridden. +50% Acid Resistance.,Available from Start,-,N/A
Campaign,Offense,Discipline ,No,Scattergun Skills,+40% Reload Speed with Shotguns.,Paul's Alley (4),-,500
Campaign,Utility,Reflex,No,Screwdriver,"+50% Use Speed, +10% Stamina",Bridge Town,-,500
Swarm,Utility ,Reflex,No,Screwdriver ,+100% Use Speed,Available from Start,-,N/A
Corruption ,Finale,Finale,-,Search and Rescue,Create a distraction in the Bar so the survivors can escape to Fort Hope. Act 1 Finale,N/A,-,N/A
Campaign,Defense,Brawn,No,Second Chance,"+1 Extra Life, +15 Health, +25% Bleed out Resistance",Starter Deck,-,500
Swarm,Defense ,Brawn,No,Second Chance,"+1 Extra Life, +10 Health",Available from Start,-,N/A
Burn,Loot,Burn,No,Secondary Weapon Upgrade,"Upgrades the quality of your currently equipped sidearm and melee weapons by one rarity, up to Epic.",The Collectors (V.1.000.008),-,
Corruption,Ridden,Ridden,-,Shambling Ridden Swarm,"What remains of the Living, aim for the head to put them down quickly.",N/A,,
Campaign,Utility,Fortune,Yes,Share the Wealth,Team Effects: Each teammate gets 100 Bonus Copper at the start of each level.,The Stilts (4),Melee,500
Cleaner,Character,Cleaner,Yes,Sharice,"Armor pieces shot off Ridden have a chance to become Makeshift Armor. +25% Trauma Resistance. Team Effects: +25% Team Bolstered Health. Starts with an UMP45, Fire Axe, and a Flashbang.",Expansion 1 - Tunnels of Terror,Melee,500
